Record ID,Record Title,Broken Link,Record Page,Fixed Link
2737,Mass of the Third Sunday after Pentecost,http://gregorian-chant.ning.com/group/enregistrements/forum/topic/show?id=3327296%3ATopic%3A93065&xg_source=msg,https://ddmal.ca/chantdiscography/#record/2737,https://gregorian-chant.ning.com/group/enregistrements/forum/topics/ch-ur-benedictin-de-saint-anselme-messe-du-3eme-dimanche-apres-la
2801,Le Temps du Carême (Quadrigesima 1 & 4),http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:103462,https://ddmal.ca/chantdiscography/#record/2801,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-103462
1591,Occasional Gregorian Chants (1),http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:103662,https://ddmal.ca/chantdiscography/#record/1591,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-103662
2841,Manuale ad Sacramenta - Oratio Christianorum Occultorum,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:107902,https://ddmal.ca/chantdiscography/#record/2841,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-107902
2774,Mis Exaudi Domine (Dominica XI),http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:86832,https://ddmal.ca/chantdiscography/#record/2774,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-86832
1385,Liber Cantualis,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:86925,https://ddmal.ca/chantdiscography/#record/1385,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-86925
2625,The Martin Sisters Choir,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:90177,https://ddmal.ca/chantdiscography/#record/2625,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-90177
2805,Officium Pastorum,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:91963,https://ddmal.ca/chantdiscography/#record/2805,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-91963
2787,Nuit liturgique de Noël - Paroles du Seigneur,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296:Topic:94336,https://ddmal.ca/chantdiscography/#record/2787,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/3327296-Topic-94336
2071,Salve Festa Dies,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/abbaye-d-en-calcat-salve-festa-dies-lp-fr-studio-s-m,https://ddmal.ca/chantdiscography/#record/2071,https://gregorian-chant.ning.com/group/enregistrements/forum/topics/abbaye-d-en-calcat-salve-festa-dies-lp-fr-studio-s-m-sm-25a-190-d
1976,Traditions chrétiennes,http://gregorian-chant.ning.com/group/enregistrements/forum/topics/abbaye-de-timadeuc-traditions-chreti,https://ddmal.ca/chantdiscography/#record/1976,https://gregorian-chant.ning.com/group/enregistrements/forum/topics/abbaye-de-timadeuc-traditions-chretiennes-45-fr-erato-ldev-512-da
